XP_010992935.2	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Camelus dromedarius]
XP_014411714.2	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Camelus ferus]
XP_032637296.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Chelonoidis abingdonii]
XP_005304028.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Chrysemys picta bellii]
XP_005170257.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Danio rerio]
XP_004476985.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Dasypus novemcinctus]
XP_004045002.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Gorilla gorilla gorilla]
NP_005290.2	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Homo sapiens]
XP_024104470.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor-like [Pongo abelii]
XP_527566.3	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Pan troglodytes]
XP_020826072.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Phascolarctos cinereus]
XP_032264162.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Phoca vitulina]
XP_002817627.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Pongo abelii]
NP_001162603.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Rattus norvegicus]
XP_023359104.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Sarcophilus harrisii]
XP_029800760.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Suricata suricatta]
XP_024061776.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Terrapene carolina triunguis]
XP_015103034.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Vicugna pacos]
NP_001035473.1	2-oxoglutarate receptor 1a.1 [Danio rerio]
NP_001139100.1	2-oxoglutarate receptor 1a.3 [Danio rerio]
XP_002914904.1	2-oxoglutarate receptor 1 [Ailuropoda melanoleuca]
XP_010168025.1	2-oxoglutarate receptor 1 [Antrostomus carolinensis]
XP_007196895.1	2-oxoglutarate receptor 1 [Balaenoptera acutorostrata scammoni]
XP_005634079.1	2-oxoglutarate receptor 1 [Canis lupus familiaris]
XP_005505914.1	2-oxoglutarate receptor 1 [Columba livia]
XP_027503061.1	2-oxoglutarate receptor 1 [Corapipo altera]
XP_015707041.1	2-oxoglutarate receptor 1 [Coturnix japonica]
XP_022432372.1	2-oxoglutarate receptor 1 [Delphinapterus leucas]
XP_024423368.1	2-oxoglutarate receptor 1 [Desmodus rotundus]
XP_001490523.1	2-oxoglutarate receptor 1 [Equus caballus]
XP_425594.1	2-oxoglutarate receptor 1 [Gallus gallus]
XP_030712481.1	2-oxoglutarate receptor 1 [Globicephala melas]
XP_006033892.1	2-oxoglutarate receptor 1-like [Alligator sinensis]
XP_029892370.1	2-oxoglutarate receptor 1-like [Aquila chrysaetos chrysaetos]
XP_032064161.1	2-oxoglutarate receptor 1-like [Aythya fuligula]
XP_030642947.1	2-oxoglutarate receptor 1-like [Chanos chanos]
XP_032627323.1	2-oxoglutarate receptor 1-like [Chelonoidis abingdonii]
XP_005287100.1	2-oxoglutarate receptor 1-like [Chrysemys picta bellii]
XP_015707040.1	2-oxoglutarate receptor 1-like [Coturnix japonica]
XP_025975243.1	2-oxoglutarate receptor 1-like [Dromaius novaehollandiae]
XP_028657091.1	2-oxoglutarate receptor 1-like [Erpetoichthys calabaricus]
XP_425595.1	2-oxoglutarate receptor 1-like [Gallus gallus]
XP_030407416.1	2-oxoglutarate receptor 1-like [Gopherus evgoodei]
XP_025975192.1	2-oxoglutarate receptor 1-like isoform X2 [Dromaius novaehollandiae]
XP_033001778.1	2-oxoglutarate receptor 1-like [Lacerta agilis]
