XP_010992935.2	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Camelus dromedarius]
XP_014411714.2	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Camelus ferus]
XP_003986768.3	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Felis catus]
XP_006750771.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Leptonychotes weddellii]
XP_025722249.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor-like [Callorhinus ursinus]
XP_021041762.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Mus caroli]
XP_023079343.2	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Piliocolobus tephrosceles]
XP_029800760.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Suricata suricatta]
XP_026360470.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Ursus arctos horribilis]
XP_015103034.1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor [Vicugna pacos]
NP_001035473.1	2-oxoglutarate receptor 1a.1 [Danio rerio]
XP_010629151.1	2-oxoglutarate receptor 1 [Fukomys damarensis]
XP_035249633.1	2-oxoglutarate receptor 1-like [Anguilla anguilla]
XP_029892448.1	2-oxoglutarate receptor 1-like [Aquila chrysaetos chrysaetos]
XP_026710095.1	2-oxoglutarate receptor 1-like [Athene cunicularia]
XP_015707040.1	2-oxoglutarate receptor 1-like [Coturnix japonica]
XP_025975243.1	2-oxoglutarate receptor 1-like [Dromaius novaehollandiae]
XP_028657091.1	2-oxoglutarate receptor 1-like [Erpetoichthys calabaricus]
XP_030401337.1	2-oxoglutarate receptor 1-like [Gopherus evgoodei]
XP_029929817.1	2-oxoglutarate receptor 1-like isoform X1 [Myripristis murdjan]
XP_029375965.1	2-oxoglutarate receptor 1-like isoform X2 [Echeneis naucrates]
XP_029929826.1	2-oxoglutarate receptor 1-like isoform X2 [Myripristis murdjan]
XP_029375973.1	2-oxoglutarate receptor 1-like isoform X3 [Echeneis naucrates]
XP_033001778.1	2-oxoglutarate receptor 1-like [Lacerta agilis]
XP_033002291.1	2-oxoglutarate receptor 1-like [Lacerta agilis]
XP_035175036.1	2-oxoglutarate receptor 1-like [Oxyura jamaicensis]
XP_034972608.1	2-oxoglutarate receptor 1-like, partial [Zootoca vivipara]
XP_033837571.1	2-oxoglutarate receptor 1-like [Periophthalmus magnuspinnatus]
XP_028583998.1	2-oxoglutarate receptor 1-like [Podarcis muralis]
XP_031148063.1	2-oxoglutarate receptor 1-like [Sander lucioperca]
XP_034972609.1	2-oxoglutarate receptor 1-like [Zootoca vivipara]
XP_003203291.1	2-oxoglutarate receptor 1 [Meleagris gallopavo]
XP_021500464.1	2-oxoglutarate receptor 1 [Meriones unguiculatus]
XP_005355734.1	2-oxoglutarate receptor 1 [Microtus ochrogaster]
XP_024595926.1	2-oxoglutarate receptor 1 [Neophocaena asiaeorientalis asiaeorientalis]
XP_003789629.1	2-oxoglutarate receptor 1 [Otolemur garnettii]
XP_006119776.2	2-oxoglutarate receptor 1 [Pelodiscus sinensis]
XP_032467582.1	2-oxoglutarate receptor 1 [Phocoena sinus]
XP_007428458.1	2-oxoglutarate receptor 1 [Python bivittatus]
XP_032960748.1	2-oxoglutarate receptor 1 [Rhinolophus ferrumequinum]
XP_032133396.1	2-oxoglutarate receptor 1 [Sapajus apella]
XP_029794275.1	2-oxoglutarate receptor 1 [Suricata suricatta]
XP_033861811.1	5-hydroxytryptamine receptor 1A-alpha-like isoform X2 [Acipenser ruthenus]
XP_030832252.1	5-hydroxytryptamine receptor 1A-alpha-like [Strongylocentrotus purpuratus]
XP_790660.2	5-hydroxytryptamine receptor 1A-alpha-like [Strongylocentrotus purpuratus]
XP_034103848.1	5-hydroxytryptamine receptor 1A [Drosophila albomicans]
