EDO42908.1
ACU00234.1
XP_005869757.1
XP_028277845.1
AWU78798.1
AFK83788.1
AFK83789.1
tr|A0A2G9UXU3|A0A2G9UXU3_TELCI
tr|A0A1D1VX88|A0A1D1VX88_RAMVA
RDD42800.1
tr|A0A182UL45|A0A182UL45_9DIPT
XP_033103259.1
ADN93910.1
TRY72079.1
GAU94431.1
JAL31218.1
KYQ47299.1
JAO05463.1
XP_026689509.1
Branchiomma_TRINITY_DN87585_c0_g1_i1|ORF1
Stylomma_palmatum_TRINITY_DN15754_c0_g1_i1|ORF2
GCF62121.1
XP_002586119.1
RDD36768.1
RNA24474.1
XP_033103259.1
RDD42800.1
tr|A0A1D1VX88|A0A1D1VX88_RAMVA
KYQ47299.1
AAZ94236.1
JAL31218.1
GAU94431.1
XP_026689509.1
tr|A0A182UL45|A0A182UL45_9DIPT
XP_013081644.1
ABD18438.1
RNA19352.1
Pseudopotamilla_reniformisII_SOAP_k35_C1672501|ORF5
miTrinity_TR6370|c0_g1_i1|ORF4
AAQ02799.1
GAU92849.1
XP_020614579.1
XP_025111147.1
PAA68506.1
XP_034560493.1
XP_028324240.1
XP_014670076.1
JAO40527.1
XP_031570069.1
AAW80334.1
XP_033863970.2
tr|B3RYI3|B3RYI3_TRIAD
XP_013081644.1
miTrinity_TR6370|c0_g1_i1|ORF4
AAQ02799.1
RUS71358.1
ABD18438.1
Pseudopotamilla_reniformisII_SOAP_k35_C1672501|ORF5
JAN67825.1
AAQ16448.1
XP_015759526.1
TPX68967.1
XP_013928099.1
XP_002586572.1
VEL37608.1
tr|A0A369S3H5|A0A369S3H5_9METZ
tr|H3BZD6|H3BZD6_TETNG
XP_009051446.1
XP_034083260.1
ROK15852.1
MBY78844.1
XP_002587828.1
tr|A0A0K0F9Z0|A0A0K0F9Z0_STRVS
DAniello2015_ops5_Paracentrotus_lividus
XP_029592359.1
KFO34002.1
XP_008268123.1
tr|H2MMN1|H2MMN1_ORYLA
XP_014772180.1
AAQ16448.1
XP_015759526.1
CAB3265552.1
tr|A0A369S3H5|A0A369S3H5_9METZ
XP_013928099.1
XP_013817485.1
tr|A0A4W3H087|A0A4W3H087_CALMI
